Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,1,Kenji,Bunch,"Bunch, Kenji",Man,Asian,Y,American,20,20-21,,1973,,Y,https://dbpedia.org/page/Kenji_Bunch,Symphony No. 2 (Jubilee): For Chorus and Orchestra
Individual Composer,1,1,Henry T.,Burleigh,"Burleigh, Henry T.",Man,Black,Y,American,19,19-20,,1866,1949,N,https://dbpedia.org/page/Harry_Burleigh,"If you but knew, from three songs: for baritone or mezzo soprano with piano accompaniment "
Individual Composer,1,1,Elliott,Carter,"Carter, Elliott ",Man,White,N,American,20,20-21,,1908,2012,N,https://dbpedia.org/page/Elliott_Carter,"Luimen: for trumpet, trombone, harp, mandolin, guitar and vibraphone "
Individual Composer,1,1,Wallace,Cheatham,"Cheatham, Wallace",Man,Black,Y,American,20,20-21,,1945,,Y,,The Umukoro songs: for medium voice and piano (2004) 
Individual Composer,1,1,Yi ,Chen,"Chen, Yi",Woman,Asian,Y,Chinese-American,20,20-21,,1953,,Y,https://dbpedia.org/page/Chen_Yi_(composer),Plum blossom: for piano 
Individual Composer,1,6,Billy,Childs,"Childs, Billy ",Man,Black,Y,American,20,20-21,,1957,,Y,https://dbpedia.org/page/Billy_Childs,(1) String quartet no. 2: awakening; (2) Four portraits: for solo violin; (3) Two elements: for brass quintet and piano (2007); (4) of darkness and light: for orchestra; 5) String quartet #1; 6) Incident on larpenteur avenue: for violin and piano
Individual Composer,1,2,Judith,Cloud,"Cloud, Judith ",Woman,White,N,American,20,20-21,,1954,,Y,https://dbpedia.org/page/Judith_Cloud,"(1) 24 Italian songs and arias for 21st century singers, vol. 1 (1-1(2): for medium and high voice; (2) 24 Italian songs and arias for 21st century singers, vol. 2 (13-24): for medium and high voice"
Individual Composer,1,2,Valerie,Coleman,"Coleman, Valerie",Woman,Black,Y,American,20,20-21,,1970,,Y,https://dbpedia.org/page/Valerie_Coleman,(1) Danza de la Mariposa: For Solo Flute (2) Sonatine: for B flat Clarinet and Piano
Individual Composer,1,2,John,Corigliano,"Corigliano, John ",Man,White,N,American,20,20-21,,1938,,Y,https://dbpedia.org/page/John_Corigliano,(1) Concerto: for piano and orchestra (1968); (2) And the people stayed home: for solo soprano
Individual Composer,1,1,Jean,Coulthard,"Coulthard, Jean",Woman,White,N,Canadian,20,20-21,,1908,2000,N,https://dbpedia.org/page/Jean_Coulthard,Three Persian Quatrains: For Baritone and Piano
Individual Composer,1,1,Courcelle,Francisco,"Courcelle, Francisco",Man,White,N,French,18,18,,1705,1778,N,https://id.loc.gov/authorities/names/no98027636.html,Villancicos y cantadas al Santísimo--Vol. 2. Obras para bajo 
Individual Composer,1,1,Cecilia,Damström,"Damström, Cecilia ",Woman,White,N,Finnish,20,20-21,,1988,,Y,,"Tundo!: for symphony orchestra, op. 49: 201618 "
Individual Composer,1,3,Anthony,Davis,"Davis, Anthony ",Man,Black,Y,American,20,20-21,,1951,,Y,,(1) Central Park Five: Opera in 3 Acts; (2) Dance; (3) Some springs
Individual Composer,1,3,Kevin,Day,"Day, Kevin ",Man,Black,Y,American,20,20-21,,1996,,Y,,(1) Ignition: for low brass quartet (2020); (2) Havana: for wind ensemble (2020); (3) Dancing fire: for wind ensemble
Individual Composer,1,2,Brett,Dean,"Dean, Brett ",Man,White,N,Australian,20,20-21,,1961,,Y,https://dbpedia.org/page/Brett_Dean,"(1) Wolf-lieder: for soprano and chamber orchestra (2006); (2) Seven signals: for violin, clarinet, cello and piano (2019)"
Individual Composer,1,1,Claude,Debussy,"Debussy, Claude ",Man,White,N,French,19,19-20,,1862,1918,N,https://dbpedia.org/page/Claude_Debussy,Œuvres complètes de Claude Debussy
Individual Composer,1,2,Fernande,Decruck,"Decruck, Fernande ",Woman,White,N,French,19,19-20,,1896,1954,N,https://dbpedia.org/page/Fernande_Decruck,(1) Deux berceuses: pour quatuor de saxophones; (2) 3e chant lyrique: pour saxophone alto et piano
Individual Composer,1,1,Emma Lou,Diemer,"Diemer, Emma Lou ",Woman,White,N,American,20,20-21,,1927,2019,N,https://dbpedia.org/page/Emma_Lou_Diemer,Halcyon days: for euphonium and piano (2020) 
Individual Composer,1,1,Gerardo,Dirié,"Dirié, Gerardo ",Man,Latinx,Y,Argentinian,20,20-21,,1958,,Y,,"Overwintering: for soprano, flute, bass clarinet, and piano "
Individual Composer,1,1,Emily,Doolittle,"Doolittle, Emily ",Woman,White,N,Canadian,20,20-21,,1972,,Y,https://dbpedia.org/page/Emily_Doolittle,Woodwings: for wind quintet (2018) 
