Type of Score,Composer Count,Number of Scores Added,First Name,Last Name,Full Name,Gender-Identity,Race,BIPOC,Nationality,Century of Birth,Century,Additional Identities,Birth,Death,Living,DBpedia,Composition Title(s)
Individual Composer,1,1,Vicente,Ripollés,"Ripollés, Vicente ",Man,Latinx,Y,Spanish,19,19-20,,1867,1943,N,,Música en torno al Motu proprio para la catedral de Sevilla.
Individual Composer,1,1,Willy de,Rothschild,"Rothschild, Willy de ",Woman,White,N,German,19,19-20,,1832,1924,N,,Sechs lieder (1897) 
Individual Composer,1,1,Huang,Ruo,"Ruo, Huang",Man,Asian,Y,Chinese,20,20-21,,1976,,Y,https://dbpedia.org/page/Huang_Ruo,Four Fragments: For Solo Cello
Individual Composer,1,2,Frederic,Rzewski,"Rzewski, Frederic ",Man,White,N,American,20,20-21,,1938,2021,N,https://dbpedia.org/page/Frederic_Rzewski,(1) Mollitude: flute; (2) Dreams: for piano solo (2012-2014)
Individual Composer,1,1,Kaija,Saariaho,"Saariaho, Kaija ",Woman,White,N,Finnish,20,20-21,,1952,,Y,https://dbpedia.org/page/Kaija_Saariaho,Light still and moving: for flute and kantele: (2016) 
Individual Composer,1,2,Joseph Bologne,Saint-Georges,"Saint-Georges, Joseph Bologne ",Man,Black,Y,French,18,18,,1745,1799,N,,"(1) Symphonie concertante in f, op. 10, no. 1; (2) L'amant anonyme = (The anonymous lover)"
Individual Composer,1,1,Fazıl,Say,"Say, Fazıl ",Man,White,N,Turkish,20,20-21,,1970,,Y,https://dbpedia.org/page/Faz%C4%B1l_Say,"İstanbul'da kış Sabahı = Winter morning in Istanbul: for piano four hands = Wintermorgen in Istanbul: für Klavier zu vier Händen = Matin d'hiver à Istanbul: pour piano a quattre mains, op. 51b (2012) "
Individual Composer,1,1,Jeff,Scott,"Scott, Jeff",Man,Black,Y,American,20,20-21,,1967,,Y,,Elegy for Innocence: For Bassoon and Piano
Individual Composer,1,1,Susannah,Self,"Self, Susannah ",Woman,White,N,British,20,20-21,,20--,,Y,,"Two sacred duets from the opera artemisia: for soprano, mezzo soprano and piano (2020) "
Individual Composer,1,5,Carlos,Simon,"Simon, Carlos ",Man,Black,Y,American,20,20-21,,1986,,Y,,"(1) Let America be America again: for soprano and string quartet (2017); (2) Catch on fire: for saxophone quartet (2019); (3) Fate now conquers: for orchestra (2020); (4) Be still and know: for violin, cello, and piano ; (5) Night trip: chamber opera"
Individual Composer,1,2,Alvin,Singleton,"Singleton, Alvin ",Man,Black,Y,American,20,20-21,,1940,,Y,https://dbpedia.org/page/Alvin_Singleton,"(1) Ein kleines Volkslied: for bass clarinet, vibraphone, electric guitar, piano, 'cello and double bass; (2) Again: for chamber orchestra (1979)"
Individual Composer,1,1,Howard,Skempton,"Skempton, Howard ",Man,White,N,British,20,20-21,,1947,,Y,https://dbpedia.org/page/Howard_Skempton,24 preludes and fugues: solo piano 
Individual Composer,1,1,Gabriella,Smith,"Smith, Gabriella ",Woman,White,N,American,20,20-21,,1991,,Y,https://dbpedia.org/page/Gabriella_Smith,Imaginary pancake: for solo piano (2020) 
