Type of Score,Barcode,Description,Item Policy,Material Type,MMS Id,ISBN,Resource Type,Title,Primo Link,Author,Publisher,Publication Place,Publication Date,Edition,Series,Subjects,Uniform Title,Language Code,Permanent Call Number,Location Name,Item Creation Fiscal Year
Individual Composer,39090018378006,,Score,Music Score,991018207346603851,,Notated music - Physical,Homies and popz : a hip-hopera /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Abels, Michael, 1962-",Subito Music Corporation,"Verona, NJ :","1999, 2000.",,,,,eng,MSC9252,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353504,,Score,Music Score,991018231646103851,9788759842744; 8759842741,Notated music - Physical,Concerto: for horn and orchestra (2018-19) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231646103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Abrahamsen, Hans, 1952-",Wilhelm Hansen,Copenhagen :,[2021].,,,,,zxx,MSC9303,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353439,,Score,Music Score,991018231645903851,9781705110690; 170511069X,Notated music - Physical,"Opera choruses, vol. 2 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231645903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9305,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353496,,Score,Music Score,991018231645803851,9781705110706; 1705110703,Notated music - Physical,"Opera choruses, vol. 3 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231645803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9306,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353553,,Score,Music Score,991018231646003851,9781705110683; 1705110681,Notated music - Physical,"Opera choruses, vol. 1 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018231646003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, John, 1947-",Boosey & Hawkes,New York :,[2021].,,,,,eng,MSC9304,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202322,,Score,Music Score,991018115242903851,,Notated music - Physical,String quartet in D flat (2003) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,New York :,[2015],,American composers edition,String quartets--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9108,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341525,,Score,Music Score,991018166648403851,,Notated music - Physical,L'amour éternel : for flute and piano (2012) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",,"New York : ‡b American Composers Alliance, ‡c [2014]",©2012,American composers edition,,Flute and piano music--Scores and parts.; Scores.; Parts (Music); Art music.,,zxx,MSC9172,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341715,,Score,Music Score,991018166648303851,,Notated music - Physical,"Sence you went away : from ""Nightsongs"" : for medium voice and chamber orchestra  on poetry of James Weldon Johnson : 2019 /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance Inc,"New York, NY :",2019.,New edition.,American composers edition,"Johnson, James Weldon,--1871-1938--Musical settings.; Johnson, James Weldon,--1871-1938.; Songs (Medium voice) with chamber orchestra--Scores.; Art music.; Musical settings.; Scores.; Songs.",Nightsongs. Sence you went away,eng,MSC9173,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018220846703851,,Notated music - Physical,Twenty-six etudes for solo piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018220846703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,New York :,[2020],,,Piano--Studies and exercises--Scores.; Piano.; Concert etudes.; Scores.,,zxx,MT225.A33 T84 2020,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018220846903851,,Notated music - Physical,Collected songs /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018220846903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adams, Leslie, 1932- composer.",American Composers Alliance,"[New York, NY] :",[2015],,American composers edition,"Valance, Nikos--Musical settings.; Hassler, Suzanne--Musical settings.; Cullen, Countee,--1903-1946--Musical settings.; Dunbar, Paul Laurence,--1872-1906--Musical settings.; Music--Manuscripts--Facsimiles.; Adams, Leslie,--1932---Manuscripts--Facsimiles.; Cullen, Countee,--1903-1946; Adams, Leslie,--1932-; Dunbar, Paul Laurence,--1872-1906.; Music.; Songs with piano.; Songs.; Scores.; Manuscripts.; Facsimiles.; Musical settings.",Songs. Selections,eng,M1620.A233 S66 2015,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377750,,Score,Music Score,991018207346503851,,Notated music - Physical,Duo for eight strings : a duet for violin and viola /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adler, Samuel, 1928- composer.",Theodore Presser Company,King of Prussia :,[2021],,Presser premiere series,Violin and viola music--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9253,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377818,,Score,Music Score,991018207346403851,,Notated music - Physical,Just for two : a duet for oboe and bassoon /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Adler, Samuel, 1928- composer.",Theodore Presser Company,King of Prussia :,[2021],,Presser premiere series,Bassoon and oboe music--Scores and parts.; Chamber music.; Scores.; Parts (Music),,zxx,MSC9254,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202488,,Score,Music Score,991018115242703851,,Notated music - Physical,Thirst and quenching : for solo violin (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Agócs, Kati, 1975-",Kati Agócs Music,"Needham, MA :",2020.,,,,,eng,MSC9109,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340568,,Score,Music Score,991018169841103851,,Notated music - Physical,Tango alono : for solo oboe /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169841103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Albert, Adrienne, 1941-",Kenter Canyon Music,Los Angeles :,2020.,,,Oboe music.; Tangos.; Tangos (Music); Scores.,,eng,MSC9191,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018338349,,Score,Music Score,991018193946303851,,Notated music - Physical,"Yaraví and scherzo : for clarinet, marimba and piano /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018193946303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Alvarado, Jannet, 1963- composer.",Cayambis Music Press,"[Blacksburg, Virginia] :",[2016],,,"Trios (Piano, clarinet, marimba)--Scores and parts.; Scherzos.; Chamber music.; Parts (Music); Scores.",,zxx,MSC9234,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303509,,Score,Music Score,991018103746803851,,Notated music - Physical,Quintet no. 2 for brass /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103746803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Amis, Kenneth.",Amis Musical Circle,"Norwood, MA :",[1990?],,,"Brass quintets (Horn, trombone, trumpets (2), tuba)--Scores and parts.","Quintets, trumpets (2), horn, trombone, tuba, no. 2",zxx,MSC9074,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303640,,Score,Music Score,991018103547403851,,Notated music - Physical,"Aurelia, in memoriam : for solo violin : (2020) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103547403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Anderson, T. J. 1928- composer. (Thomas Jefferson),",American Composers Alliance,New York :,2020.,2nd edition.,,Violin music.; Memorial music.; Art music.; Scores.,"Aurelia, in memoriam",zxx,MSC9075,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341236,,Score,Music Score,991018139842103851,,Notated music - Physical,"Shouts (forty improvisations for Eva-Maria) : for oboe, violin, cello and piano (1997) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139842103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Anderson, Thomas J., 1928-",T J Anderson Music Publishing,"Verona, NJ :","1997, [2020].",,,,,eng,MSC9142,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018378188,,Score,Music Score,991018207346303851,,Notated music - Physical,Fanfare politeia : for wind ensemble /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Archer, Kimberly, 1973-",Murphy Music Press,"McKinney, TX :",[2021].,,,,,eng,MSC9255,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377396,,Score,Music Score,991018207346203851,,Notated music - Physical,"The revelation of Saint John the Divine : rhapsody for tenor, male chorus, brass and percussion /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Argento, Dominick, composer.",Boosey & Hawkes,[New York] :,[2020],Vocal score.,,"Bible. Revelation Songs and music.; Bible. Revelation; Choruses, Sacred (Men's voices) with instrumental ensemble--Vocal scores with piano.; Rhapsodies (Music); Sacred music.; Songs and music.; Vocal scores.",Revelation of Saint John the Divine. Vocal score,eng,MSC9256,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340626,,Score,Music Score,991018169841003851,,Notated music - Physical,Sonate : für violoncello solo (2002) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169841003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Auerbach, Lera, 1973-",Sikorski Musikverlag,Hamburg :,"2002, [2020].",,,,,mul,MSC9192,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202587,,Score,Music Score,991018115242603851,,Notated music - Physical,Iaspis : for violin scordatura (2013) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,"2013, [2020].",,,,,eng,MSC9110,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353744,,Score,Music Score,991018232036903851,,Notated music - Physical,Cleaning : for violin and latex glove (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,2020.,,,,,zxx,MSC9307,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377636,,Score,Music Score,991018207346103851,,Notated music - Physical,Drip/spin : for flute and piano (2017) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Balch, Katherine, 1991-",Project Schott New York,New York :,"2017, [2020].",,,,,eng,MSC9257,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303707,,Score,Music Score,991018103547303851,,Notated music - Physical,"Slow movement : for fiddle, harp, strings and harpsichord (2010/2018) /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103547303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Beamish, Sally, 1956-",Norsk Musikforlag,Oslo :,"2018, [2020].",,,,,zxx,MSC9076,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018131785,,Score,Music Score,991018066048703851,,Notated music - Physical,Hexatonics /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018066048703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bergonzi, Jerry.",Advance Music,Rottenburg N. [Germany] :,©2006.,,Inside improvisation series ;,Improvisation (Music); Jazz--Instruction and study.; Musical intervals and scales.; Recorded accompaniments.; Scores.; Jazz.,,zxx,MT68 .B47 2006,Music Stacks,FY-2021
Individual Composer,39090018341657,,Score,Music Score,991018139842003851,,Notated music - Physical,"Poème, op. 5 : pour piano /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139842003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bertrand, Elise, 2000-",Billaudot,Paris :,2020.,,,,,zxx,MSC9143,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377214,,Score,Music Score,991018207346003851,,Notated music - Physical,Centuries in the hours : for mezzo-soprano and orchestra (2019) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207346003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bielawa, Lisa, 1968-",Lisa Bielawa,New York :,2019.,,,American diaries--Women authors--Musical settings.; American diaries--Women authors.; Song cycles.; Songs (Medium voice) with orchestra--Scores.; Musical settings.,,eng,MSC9258,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,v.29P,Score,Music Score,991018140048903851,1987205359; 9781987205350; 9781987205367; 1987205367,Notated music - Physical,Shuffle along /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018140048903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Blake, Eubie, 1887-1983 composer, lyricist.",Published for the American Musicological Society by A-R Editions Inc,"Middleton, Wisconsin :",[2020],Piano-vocal score.,Music of the United States of America ; 29P.; Recent researches in American music ; v. 85P.,Musicals--Scores.; Musicals--Vocal scores with piano.; Vocal scores.; Musicals.; Scores.,Shuffle along. Vocal score,eng,M2 .R2386x v.85P,Music Stacks,FY-2021
Individual Composer,39090018377255,,Score,Music Score,991018202648503851,,Notated music - Physical,Duet no. 1 : for bassoon and marimba /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202648503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bland, Ed, 1926-2013.",Osmund Music Inc,"Smithfield, VA :","1996, [2020].",,,,,eng,MSC9235,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377875,,Score,Music Score,991018207345903851,,Notated music - Physical,The Voices of air : for tenor trombone and piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207345903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bond, Victoria, 1945-",Protone Music,New York :,"2019, [2021].",,,,,zxx,MSC9259,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353736,,Score,Music Score,991018232036803851,,Notated music - Physical,Two works for solo piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bonds, Margaret, 1913-1972.",Hildegard Music,Bryn Mawr :,2021.,,,,,eng,MSC9308,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303699,,Score,Music Score,991018103547203851,,Notated music - Physical,Spiritual suite : for piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018103547203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bonds, Margaret, composer.",Classical Vocal Reprints,Fayetteville :,[2020],,,Spirituals (Songs)--Instrumental settings.; Suites (Piano); Scores.; Suites.,,zxx,MSC9077,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018232036703851,,Notated music - Physical,Cane : bassoon concerto with reed quintet /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brandon, Jenni, 1977-",Jenni Brandon Music,Long Beach :,"2018, [2020].",,,,,eng,Unknown,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353686,,Score,Music Score,991018232036603851,,Notated music - Physical,"Sea quartet : for oboe, clarinet, bassoon and piano /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brandon, Jenni, 1977- composer.",Jenni Brandon Music,Long Beach :,[2021],,,"Quartets (Piano, bassoon, clarinet, oboe)--Scores and parts.; Chamber music.; Scores.; Parts (Music)",,zxx,MSC9310,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377685,,Score,Music Score,991018207345803851,,Notated music - Physical,The Flight of bitter water : for orchestra (2020) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207345803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Bray, Charlotte, 1982-",Composers Edition,Oxfordshire :,2020.,,,,,eng,MSC9260,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353512,,Score,Music Score,991018232036503851,9789593259231; 9593259236,Notated music - Physical,Motivos de son no. 1 : para guitarra (2021) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brouwer, Leo, 1939-",Ediciones Espiral Eterna,Havana :,2021.,,,Guitar music.; Art music.; Scores.,,zxx,MSC9311,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353637,,Score,Music Score,991018232036403851,9789597192411; 9597192411,Notated music - Physical,"El Triángulo de las bermudas : para violin, violoncello y piano /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brouwer, Leo, 1939-",Ediciones Espiral Eterna,Havana :,"2006, [2021].",,,,,zxx,MSC9312,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341772,,Score,Music Score,991018166648203851,9789597259169; 9597259168,Notated music - Physical,Trois nouvelles études : for guitar /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brouwer, Leo, 1939- composer.",Ediciones Espiral Eterna,Havana :,2020.,First edition.,Colección guitarra (Ediciones Espiral Eterna),Guitar music.; Art music.; Scores.,,zxx,MSC9174,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377313,,Score,Music Score,991018202648403851,9789597259220; 9597259222,Notated music - Physical,Guerra del tiempo : para guitarra y piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202648403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brouwer, Leo, 1939- composer.",Ediciones Espiral Eterna,"La Habana, Cuba :",2020.,Primera edición.,Colección música de cámara.,Guitar and piano music--Scores and parts.; Chamber music.; Parts (Music); Scores.,,zxx,MSC9236,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377370,,Score,Music Score,991018202648303851,9789597192442; 9597192446,Notated music - Physical,Paisaje cubano con ritual : para clarinete bajo y percusión /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202648303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brouwer, Leo, 1939- composer.",Ediciones Espiral Eterna,"Habana, Cuba :",2020.,Primera edición,Colección música de cámara.,Clarinet and vibraphone music--Scores.; Clarinet and marimba music--Scores.; Chamber music.; Scores.,,zxx,MSC9237,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353678,,Score,Music Score,991018232036303851,,Notated music - Physical,Atlantis : for theremin and amplified classical guitar (2007) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brown, Elizabeth (Elizabeth C.)",Quetzal Music,"Brooklyn, NY :","2007, [2021].",,,,,eng,MSC9313,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018232036203851,,Notated music - Physical,Arcana : for flute and recorded sound (2004) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Brown, Elizabeth composer. (Elizabeth C.)",Quetzal Music,New York City :,[2021],,,Flute and electronic music--Scores.; Chamber music.; Scores.,,zxx,M298.B75 A73 2021,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018353603,,Score,Music Score,991018232036103851,,Notated music - Physical,"If you but knew, from three songs : for baritone or mezzo soprano with piano accompaniment /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Burleigh, Henry T., 1866-1949.",Schirmer Rental Dept,New York :,"1898, [2021].",,,,,eng,MSC9315,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018346144,,Score,Music Score,991018193947603851,0981720455; 9780981720456,Book - Physical,Spanish diction for singers : a practical guide for the pronunciation of Peninsular and American Spanish /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018193947603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Caicedo, Patricia, author.",Mundo Arts Publications,Barcelona :,2020.,,Latin American & Spanish vocal music collection,Singing--Diction.; Spanish language--Pronunciation.,,eng,MT883 .C35 2020,Music Stacks,FY-2021
Individual Composer,39090018320669,,Score,Music Score,991018139841903851,9781705105788; 1705105785,Notated music - Physical,"Luimen : for trumpet, trombone, harp, mandolin, guitar and vibraphone /","https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139841903851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Carter, Elliott, 1908-2012 composer.",Boosey & Hawkes; Hendon Music,[Place of publication not identified] :,2020.,,,"Sextets (Trumpet, trombone, harp, mandolin, guitar, vibraphone)--Scores.; Chamber music--Scores.; Scores.",,zxx,MSC9144,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018220846603851,,Notated music - Physical,The Umukoro songs : for medium voice and piano (2004) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018220846603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Cheatham, Wallace, composer.",American Composers Alliance,New York :,[2018],American concert editions.,,"Umukoro, Matthew M.--Musical settings.; Umukoro, Matthew M.; Songs (Medium voice) with piano.; Musical settings.; Scores.; Songs.",,eng,M1621.C488 U5 2004,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,,,Score,Music Score,991018232036003851,9781491134160; 149113416X,Notated music - Physical,Plum blossom : for piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018232036003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Chen, Yi, 1953- composer.",Theodore Presser Co,King Of Prussia :,2021.,,,Piano music.,,zxx,Unknown,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202603,,Score,Music Score,991018115242403851,,Notated music - Physical,String quartet no. 2 : awakening /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, 1957-",Lunacy Music,[S.l.] :,"2012, [2020].",,,,,zxx,MSC9112,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090017202660,,Score,Music Score,991018115242503851,,Notated music - Physical,Four portraits : for solo violin /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018115242503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, 1957-",Lunacy Music,[S.l.] :,"2016, [2020].",,,,,zxx,MSC9111,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018320958,,Score,Music Score,991018139841803851,,Notated music - Physical,Two elements : for brass quintet and piano (2007) /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018139841803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, 1957-",Lunacy Music,Nashville :,"2007, [2020].",,,,,zxx,MSC9145,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377495,,Score,Music Score,991018202648103851,,Notated music - Physical,of darkness and light : for orchestra /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202648103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, 1957-",Lunacy Music,[S.l.] :,2019.,,,,,zxx,MSC9239,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018341582,,Score,Music Score,991018166648103851,,Notated music - Physical,String quartet #1 /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018166648103851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, composer.",Lunacy Music,[Place of publication not identified] :,[2020],,,String quartets--Scores and parts.,"Quartets, violins (2), viola, cello, no. 1",zxx,MSC9175,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018377438,,Score,Music Score,991018202648203851,,Notated music - Physical,Incident on larpenteur avenue : for violin and piano /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018202648203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Childs, Billy, composer.",Lunacy Music,[S.l.] :,[2020],,,Violin and piano music--Scores and parts.,,zxx,MSC9238,Music Desk--Inquire @ Music Desk,FY-2021
