Type of Score,Barcode,Description,Item Policy,Material Type,MMS Id,ISBN,Resource Type,Title,Primo Link,Author,Publisher,Publication Place,Publication Date,Edition,Series,Subjects,Uniform Title,Language Code,Permanent Call Number,Location Name,Item Creation Fiscal Year
Individual Composer,39090003047517,,Score,Music Score,991018150148003851,,Notated music - Physical,Symphony No. 1 : Centenary edition /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018150148003851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace, 1906-1977.",Oriana Publications Limited,Barry :,2007.,,,Orchestral music.; Symphonies.,,eng,MSC9209,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345765,,Score,Music Score,991018207549803851,,Notated music - Physical,Sonata for violin /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207549803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace, 1906-1977.",Oriana Publications = Cwmni Cyhoeddi Oriana,[s.l.] :,[2010],,,Sonatas (Violin and piano); Violin and piano music.; Women composers.,"Sonatas, violin, piano",eng,MSC9301,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345526,,Score,Music Score,991018207248403851,,Notated music - Physical,Ballads.,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248403851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9295,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345583,,Score,Music Score,991018207248303851,,Notated music - Physical,Castell Caernarfon.,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248303851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9296,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345641,,Score,Music Score,991018207248703851,,Notated music - Physical,Violin concerto,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248703851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9299,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345823,,Score,Music Score,991018207248203851,,Notated music - Physical,Four mediaeval Welsh poems.,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248203851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9300,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345880,,Score,Music Score,991018207248603851,,Notated music - Physical,Suite for string orchestra.,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9298,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018345948,,Score,Music Score,991018207248503851,,Notated music - Physical,Elegy for strings.,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018207248503851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Williams, Grace.",Oriana Publications = Cwmni Cyhoeddi Oriana,,,,,,,eng,MSC9297,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018340519,,Score,Music Score,991018169839603851,,Notated music - Physical,Stronghold : for eight double basses /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018169839603851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, 1958-",Red Poppy Music,"New York, NY :","2009, [2020].",,,String octets (Double basses (8))--Scores.,,zxx,MSC9205,Music Desk--Inquire @ Music Desk,FY-2021
Individual Composer,39090018303533,,Score,Music Score,991018154140803851,,Notated music - Physical,Anthracite fields /,"https://tufts-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,991018154140803851&context=L&vid=01TUN&search_scope=EVERYTHING&tab=everything&lang=en_US","Wolfe, Julia, composer.",Represented worldwide by G Ricordi & Co/Universal Music Publishing Classical; Ricordi; Red Poppy Music,[New York] :,[2014?],Full score.,,"Lewis, John L.--(John Llewellyn),--1880-1969--Musical settings.; Lewis, John L.--(John Llewellyn),--1880-1969.; Miners--Pennsylvania--Songs and music.; Anthracite coal mines and mining--Pennsylvania--Songs and music.; Mine accidents--Pennsylvania--Songs and music.; Anthracite coal mines and mining.; Choruses, Secular (Mixed voices) with instrumental ensemble--Scores.; Mine accidents.; Miners.; Secular oratorios--Scores.; Pennsylvania.; Musical settings.; Oratorios.; Scores.; Songs and music.; Art music.",Anthracite fields,eng,M1531.W65 A5 2014,Music Stacks,FY-2021
